City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
san policarpo,12.18,125.51,85.06,68,18,2.66,PH,1599787556
kieta,-6.22,155.63,86.34,59,96,3.11,PG,1599787556
pacific grove,36.62,-121.92,64.0,93,26,3.33,US,1599787488
hervey bay,-25.3,152.85,66.0,87,100,15.01,AU,1599787557
brive-la-gaillarde,45.25,1.5,64.0,90,0,2.3,FR,1599787557
constitucion,-35.33,-72.42,50.67,83,0,13.47,CL,1599787557
buraydah,26.33,43.98,80.6,30,40,3.36,SA,1599787557
mountain home,43.13,-115.69,82.4,8,1,5.82,US,1599787274
saint-georges,12.06,-61.75,80.6,78,20,5.82,GD,1599787558
hambantota,6.12,81.12,77.0,100,20,6.93,LK,1599787558
te anau,-45.42,167.72,47.86,61,1,0.38,NZ,1599787559
balkanabat,39.51,54.37,69.4,52,0,1.77,TM,1599787559
yulara,-25.24,130.99,87.8,15,0,5.82,AU,1599787559
provideniya,64.38,-173.3,50.0,81,90,6.71,RU,1599787560
tral,33.93,75.1,58.01,57,0,1.59,IN,1599787560
egvekinot,66.32,-179.17,44.98,73,95,5.32,RU,1599787560
praia da vitoria,38.73,-27.07,70.0,94,20,5.28,PT,1599787448
cabo san lucas,22.89,-109.91,84.99,74,20,6.93,MX,1599787291
bosaso,11.28,49.18,89.46,53,90,3.96,SO,1599787561
yeppoon,-23.13,150.73,73.4,49,75,6.93,AU,1599787561
bani,18.28,-70.33,82.99,82,5,4.0,DO,1599787562
beloha,-25.17,45.05,71.85,66,97,4.76,MG,1599787562
kaitangata,-46.28,169.85,48.29,52,82,1.7,NZ,1599787562
elizabethton,36.35,-82.21,73.99,88,90,1.99,US,1599787562
bengkulu,-3.8,102.27,77.38,81,90,3.44,ID,1599787563
esmeraldas,-19.76,-44.31,73.4,46,73,3.36,BR,1599787563
vostok,46.49,135.88,50.97,99,100,2.71,RU,1599787266
chokurdakh,70.63,147.92,53.37,50,76,6.6,RU,1599787564
whitianga,-36.83,175.7,54.34,61,76,11.92,NZ,1599787564
vertientes,21.26,-78.15,75.2,94,100,2.24,CU,1599787564
aksay,47.26,39.87,53.6,58,0,2.24,RU,1599787564
richards bay,-28.78,32.04,66.42,79,97,6.73,ZA,1599787565
surt,31.21,16.59,75.52,84,0,3.51,LY,1599787565
narsaq,60.92,-46.05,41.0,27,0,10.29,GL,1599787565
port shepstone,-30.74,30.45,63.93,76,7,7.9,ZA,1599787565
dudinka,69.41,86.18,51.8,87,40,15.66,RU,1599787566
diffa,13.32,12.61,83.41,61,85,11.86,NE,1599787566
sao filipe,14.9,-24.5,80.08,83,88,12.62,CV,1599787566
yako,12.97,-2.27,76.28,81,100,10.27,BF,1599787567
damghan,36.17,54.35,61.47,45,0,1.99,IR,1599787567
syracuse,37.09,15.28,75.2,73,20,2.24,IT,1599787567
meulaboh,4.14,96.13,77.16,73,99,3.51,ID,1599787492
gladstone,-23.85,151.25,71.6,53,90,11.41,AU,1599787568
sept-iles,50.2,-66.38,45.0,100,75,5.82,CA,1599787337
iskateley,67.68,53.15,43.52,94,100,9.31,RU,1599787568
oriximina,-1.77,-55.87,78.91,70,1,3.49,BR,1599787568
kandrian,-6.22,149.55,82.27,74,33,11.86,PG,1599787569
ayan,56.45,138.17,55.18,64,0,5.41,RU,1599787569
alice springs,-23.7,133.88,87.8,18,0,12.75,AU,1599787569
korla,41.76,86.15,67.64,25,10,10.38,CN,1599787570
sinnar,13.57,33.57,75.9,79,100,14.16,SD,1599787570
san luis,-33.3,-66.34,66.36,52,0,8.7,AR,1599787570
xuanzhou,30.95,118.76,71.73,92,80,5.08,CN,1599787554
severodvinsk,64.56,39.83,50.0,93,90,8.95,RU,1599787421
general roca,-39.03,-67.58,53.6,40,0,8.05,AR,1599787571
borger,52.92,6.79,55.99,82,50,1.01,NL,1599787571
biloela,-24.42,150.5,66.83,63,93,17.92,AU,1599787572
yeniseysk,58.45,92.17,44.78,87,18,2.35,RU,1599787572
anadyr,64.75,177.48,50.0,93,90,11.18,RU,1599787572
moussoro,13.64,16.49,84.24,58,100,10.04,TD,1599787573
lompoc,34.64,-120.46,63.0,82,1,3.36,US,1599787573
cartagena,10.4,-75.51,82.35,80,2,7.47,CO,1599787377
roebourne,-20.78,117.13,88.66,25,0,11.68,AU,1599787573
gwanda,-20.93,29.0,55.04,70,0,6.49,ZW,1599787574
sao miguel do araguaia,-13.28,-50.16,79.65,23,0,4.34,BR,1599787574
geraldton,-28.77,114.6,59.0,67,90,10.29,AU,1599787474
bambous virieux,-20.34,57.76,72.0,78,75,11.41,MU,1599787575
cidreira,-30.18,-50.21,57.47,89,0,5.82,BR,1599787575
san isidro,-12.12,-77.05,59.0,82,90,8.05,PE,1599787575
saint-augustin,51.23,-58.65,48.72,90,100,2.19,CA,1599787575
marienburg,54.04,19.03,46.99,93,20,3.36,PL,1599787576
sorong,-0.88,131.25,81.84,79,0,5.55,ID,1599787576
armasesti,44.75,26.58,69.01,93,0,6.93,RO,1599787576
souris,49.62,-100.26,66.2,52,20,6.93,CA,1599787295
pisco,-13.7,-76.22,62.01,82,0,14.99,PE,1599787577
pevek,69.7,170.31,42.33,93,100,4.76,RU,1599787577
xingyi,24.19,102.82,65.41,92,95,0.98,CN,1599787577
hirara,24.8,125.28,87.8,74,75,10.29,JP,1599787578
fuyang,32.9,115.82,72.5,85,15,6.71,CN,1599787349
bako,5.78,36.57,63.73,65,94,5.73,ET,1599787578
vila franca do campo,37.72,-25.43,68.0,88,20,6.93,PT,1599787578
talara,-4.58,-81.27,62.58,88,34,17.74,PE,1599787579
santa cruz,-17.8,-63.17,78.8,65,0,5.82,BO,1599787398
cockburn town,21.46,-71.14,83.82,77,92,16.69,TC,1599787396
pangody,65.85,74.49,54.36,90,60,13.8,RU,1599787579
rypefjord,70.63,23.67,46.4,93,75,11.41,NO,1599787580
surin,14.88,103.49,82.4,78,100,3.36,TH,1599787580
roald,62.58,6.13,51.8,66,94,11.41,NO,1599787580
manono,-7.3,27.42,69.89,34,26,3.24,CD,1599787580
trebinje,42.71,18.34,78.8,44,0,8.05,BA,1599787564
port lincoln,-34.73,135.87,70.23,53,55,10.25,AU,1599787581
lang son,21.83,106.73,82.06,77,100,4.92,VN,1599787339
karauli,26.5,77.02,80.71,54,10,2.59,IN,1599787581
shar,49.59,81.05,46.0,72,0,4.03,KZ,1599787582
bastia,42.67,9.33,73.99,83,90,3.36,FR,1599787582
abnub,27.27,31.15,78.8,41,0,3.36,EG,1599787582
canto do buriti,-8.11,-42.94,75.97,49,0,5.39,BR,1599787582
dunedin,-45.87,170.5,48.0,60,71,5.01,NZ,1599787305
folldal,62.13,10.0,35.91,79,100,4.18,NO,1599787583
touros,-5.2,-35.46,75.2,88,40,3.36,BR,1599787583
crotone,39.09,17.12,76.8,63,0,6.76,IT,1599787583
placido de castro,-10.34,-67.19,84.54,33,0,1.88,BR,1599787584
kruisfontein,-34.0,24.73,60.01,92,99,4.0,ZA,1599787584
tura,25.52,90.22,75.0,97,100,6.06,IN,1599787584
tezu,27.92,96.17,76.66,86,100,1.59,IN,1599787585
callaguip,18.07,120.49,86.0,79,20,3.36,PH,1599787585
aransas pass,27.91,-97.15,77.0,83,1,13.87,US,1599787585
port-gentil,-0.72,8.78,75.67,84,99,10.76,GA,1599787586
solnechnyy,50.72,136.63,54.57,54,0,6.08,RU,1599787586
pampa,35.54,-100.96,51.8,81,90,8.05,US,1599787586
isangel,-19.55,169.27,77.0,69,75,6.93,VU,1599787587
birao,10.28,22.79,69.82,98,100,3.69,CF,1599787587
oussouye,12.48,-16.55,73.4,100,90,9.17,SN,1599787587
hokitika,-42.72,170.97,54.72,41,0,4.09,NZ,1599787587
tikhvin,59.65,33.53,48.99,93,100,5.01,RU,1599787588
vilhena,-12.74,-60.15,77.97,27,46,1.83,BR,1599787381
biltine,14.53,20.92,78.71,68,100,10.74,TD,1599787588
tongzi,28.78,105.09,73.13,88,100,1.7,CN,1599787589
saint-louis,16.33,-15.0,86.0,84,66,11.01,SN,1599787589
cherskiy,68.75,161.3,50.23,59,0,3.49,RU,1599787589
la romana,18.43,-68.97,77.0,94,40,8.52,DO,1599787589
mzimba,-11.9,33.6,62.08,47,0,11.03,MW,1599787590
white rock,49.02,-122.8,84.0,65,0,3.09,CA,1599787590
missoula,47.02,-113.8,82.4,18,1,9.17,US,1599787590
banda aceh,5.56,95.32,79.77,79,94,11.14,ID,1599787591
obera,-27.49,-55.12,67.96,94,5,5.08,AR,1599787591
coxim,-18.51,-54.76,84.06,18,0,2.86,BR,1599787591
nanortalik,60.14,-45.24,38.66,72,0,24.16,GL,1599787592
bubaque,11.28,-15.83,79.09,86,100,7.11,GW,1599787592
maraba,-5.37,-49.12,78.8,69,51,2.24,BR,1599787592
neepawa,50.23,-99.47,66.2,52,20,6.93,CA,1599787593
huilong,31.81,121.66,75.99,95,100,16.58,CN,1599787593
hofn,64.25,-15.21,48.34,86,100,3.56,IS,1599787593
coahuayana,18.73,-103.68,81.39,81,100,2.71,MX,1599787594
pauini,-7.71,-66.98,82.9,49,99,2.13,BR,1599787594
fort morgan,40.25,-103.8,51.8,62,90,6.93,US,1599787594
paamiut,61.99,-49.67,38.37,70,0,12.37,GL,1599787594
petropavlovsk-kamchatskiy,53.05,158.65,53.6,100,75,4.47,RU,1599787595
beringovskiy,63.05,179.32,48.33,92,100,17.02,RU,1599787595
angermunde,53.02,14.0,55.0,84,100,3.62,DE,1599787595
orlik,52.52,99.83,36.97,85,94,4.79,RU,1599787596
svetlogorsk,52.63,29.73,46.74,93,0,6.35,BY,1599787596
waldshut-tiengen,47.62,8.22,61.0,90,98,2.68,DE,1599787596
necochea,-38.55,-58.74,52.0,1,16,13.0,AR,1599787597
yurimaguas,-5.9,-76.08,74.17,85,48,0.72,PE,1599787597
luderitz,-26.65,15.16,64.72,54,0,7.05,NA,1599787597
obihiro,42.92,143.2,64.4,88,75,2.24,JP,1599787597
umm lajj,25.02,37.27,82.31,85,0,3.98,SA,1599787598
marrakesh,31.63,-8.01,73.4,69,68,6.93,MA,1599787555
okhotsk,59.38,143.3,57.04,48,0,6.8,RU,1599787598
zyryanka,65.75,150.85,54.27,53,84,3.8,RU,1599787599
prince rupert,54.32,-130.32,57.2,93,90,4.7,CA,1599787599
nikolayevsk-na-amure,53.14,140.73,57.2,58,40,3.8,RU,1599787425
yerbogachen,61.28,108.01,50.77,70,10,3.78,RU,1599787599
klaksvik,62.23,-6.59,50.0,100,100,13.87,FO,1599787600
wanning,18.8,110.4,85.57,75,12,10.8,CN,1599787600
suntar,62.14,117.63,51.4,85,92,2.77,RU,1599787600
chalus,36.66,51.42,69.8,83,20,2.24,IR,1599787601
saint-pierre,-21.34,55.48,66.2,77,40,6.93,RE,1599787601
mecca,21.43,39.83,84.79,44,1,2.44,SA,1599787601
chara,56.91,118.26,60.39,76,100,0.6,RU,1599787601
hutchinson,38.06,-97.93,53.6,81,90,3.36,US,1599787602
rumphi,-11.02,33.86,59.58,58,0,3.83,MW,1599787602
college,64.86,-147.8,48.2,57,75,13.87,US,1599787375
karratha,-20.74,116.85,88.93,26,0,14.34,AU,1599787359
araceli,10.55,119.99,84.72,66,0,4.27,PH,1599787603
kirensk,57.79,108.11,47.93,77,100,0.96,RU,1599787603
santo antonio do monte,-20.09,-45.29,70.39,29,87,7.96,BR,1599787573
puerto del rosario,28.5,-13.86,73.4,73,37,11.41,ES,1599787604
ancud,-41.87,-73.82,44.01,95,67,8.01,CL,1599787604
verkhnyaya toyma,62.23,45.0,49.64,95,98,5.84,RU,1599787604
kyabe,9.45,18.94,71.98,96,100,2.98,TD,1599787605
kirkwood,38.58,-90.41,78.01,78,75,8.05,US,1599787605
zeya,53.75,127.27,58.6,60,34,3.0,RU,1599787605
bandarban,22.2,92.23,80.6,88,75,5.82,BD,1599787605
baykit,61.67,96.37,48.47,79,35,1.16,RU,1599787606
kangaatsiaq,68.31,-53.46,37.22,78,87,3.18,GL,1599787606
sorland,67.67,12.69,48.45,75,88,17.43,NO,1599787606
sechura,-5.56,-80.82,63.09,80,1,15.86,PE,1599787498
pangnirtung,66.15,-65.71,35.65,79,0,3.29,CA,1599787607
ulladulla,-35.35,150.47,64.4,52,40,9.17,AU,1599787475
kozan,37.46,35.82,84.0,33,0,6.93,TR,1599787607
sault sainte marie,46.52,-84.33,50.0,81,1,3.36,CA,1599787575
gushi,34.64,109.58,75.74,54,9,4.92,CN,1599787608
denpasar,-8.65,115.22,82.4,94,20,16.11,ID,1599787343
shenzhen,22.55,114.07,86.0,99,98,5.57,CN,1599787609
colesberg,-30.72,25.1,58.42,57,0,6.04,ZA,1599787609
raahe,64.68,24.48,48.2,81,0,6.93,FI,1599787609
never,46.99,3.16,60.01,87,0,2.68,FR,1599787610
charters towers,-20.1,146.27,76.33,35,0,8.93,AU,1599787610
impfondo,1.64,18.07,70.52,97,100,0.11,CG,1599787610
blagoyevo,63.37,47.92,51.82,93,99,6.64,RU,1599787610
san carlos de bariloche,-41.15,-71.31,35.6,80,40,29.97,AR,1599787611
lovington,32.94,-103.35,59.0,62,90,6.82,US,1599787611
naryan-mar,67.67,53.09,43.57,94,100,9.24,RU,1599787611
calamar,10.25,-74.91,78.93,87,45,5.61,CO,1599787612
gashua,12.87,11.05,82.92,61,35,12.08,NG,1599787612
sokoto,13.06,5.24,78.21,80,31,8.81,NG,1599787612
marica,-22.92,-42.82,78.8,74,0,3.36,BR,1599787612
tyler,32.35,-95.3,72.0,88,20,5.82,US,1599787432
acapulco,16.86,-99.89,82.4,83,90,10.29,MX,1599787613
maidstone,51.27,0.52,51.01,74,0,1.7,GB,1599787474
celestun,20.87,-90.4,83.16,81,0,13.44,MX,1599787613
bilma,18.69,12.92,92.91,14,1,16.78,NE,1599787614
biak,-0.91,122.88,80.24,76,69,9.6,ID,1599787614
ciudad bolivar,8.12,-63.55,81.79,73,99,2.71,VE,1599787614
sistranda,63.73,8.83,46.4,87,75,13.87,NO,1599787614
atakpame,7.53,1.13,69.8,97,8,2.8,TG,1599787615
victor harbor,-35.57,138.62,66.0,59,10,9.04,AU,1599787615
harlingen,26.19,-97.7,71.6,88,90,13.87,US,1599787615
benguela,-12.58,13.41,70.25,83,0,4.99,AO,1599787616
hukuntsi,-24.0,21.75,62.38,29,0,8.03,BW,1599787616
cozumel,20.51,-86.95,82.99,94,40,7.85,MX,1599787616
mago,53.25,140.18,57.79,59,17,3.4,RU,1599787617
mariental,-24.63,17.97,67.87,24,0,12.55,NA,1599787617
